timestamp,open,high,low,close,volume
2021-10-04,796.5000,806.9699,776.1200,781.5300,30483341
2021-10-01,778.4000,780.7800,763.5900,775.2200,17031414
2021-09-30,781.0000,789.1305,775.0000,775.4800,17955961
2021-09-29,779.8000,793.5000,770.6800,781.3100,20942877
2021-09-28,787.2000,795.6400,766.1801,777.5600,25381422
2021-09-27,773.1200,799.0000,769.3100,791.3600,28070657
2021-09-24,745.8900,774.8000,744.5600,774.3900,21373022
2021-09-23,755.0000,758.2000,747.9200,753.6400,11947527
2021-09-22,743.5263,753.6699,739.1200,751.9400,15126272
2021-09-21,734.7900,744.7399,730.4400,739.3800,16330723
2021-09-20,734.5577,742.0000,718.6249,730.1700,24757652
2021-09-17,757.1500,761.0400,750.0000,759.4900,28204176
2021-09-16,752.8300,758.9100,747.6100,756.9900,13923393
2021-09-15,745.0000,756.8600,738.3600,755.8300,15357685
2021-09-14,742.5700,754.4700,736.4000,744.4900,18524881
2021-09-13,740.2143,744.7800,708.8500,743.0000,22952482
2021-09-10,759.6000,762.6100,734.5201,736.2700,15184170
2021-09-09,753.4100,762.1000,751.6301,754.8600,14077731
2021-09-08,761.5800,764.4500,740.7733,753.8700,18793036
2021-09-07,740.0000,760.2000,739.2600,752.9200,20039825
2021-09-03,732.2494,734.0000,724.2000,733.5700,15271045
2021-09-02,734.5000,740.9700,730.5400,732.3900,12796739
2021-09-01,734.0800,741.9900,731.2701,734.0900,13204335
2021-08-31,733.0000,740.3900,726.4400,735.7200,20855436
2021-08-30,714.7150,731.0000,712.7300,730.9100,18604220
2021-08-27,705.0000,715.0000,702.1001,711.9200,13833763
2021-08-26,708.3100,715.4000,697.6201,701.1600,13214292
2021-08-25,707.0300,716.9700,704.0000,711.2000,12645562
2021-08-24,710.6800,715.2200,702.6400,708.4900,13083071
2021-08-23,685.4420,712.1299,680.7505,706.3000,20264859
2021-08-20,682.8500,692.1299,673.7000,680.2600,14841865
2021-08-19,678.2100,686.5500,667.5900,673.4700,14313486
2021-08-18,669.7479,695.7700,669.3500,688.9900,20349375
2021-08-17,672.6600,674.5800,648.8400,665.7100,23721279
2021-08-16,705.0700,709.5000,676.4000,686.1700,23103303
2021-08-13,723.7100,729.9000,714.3400,717.1700,16671844
2021-08-12,706.3400,722.8000,699.4000,722.2500,17681686
